V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,label
26.523,238.3179,59.9643,72.79528543,4.1869,4.3717,0.020042268,0.110013772,0.23494355,460.1793,8.985338211,3.1891,0.9439,0.67492287,53.2991,0
26.523,238.3179,59.9643,72.79528543,4.1869,4.3717,0.020042268,0.110013772,0.23494355,460.1793,8.985338211,3.1891,0.9439,0.67492287,53.2991,0
40.8279,148.7748,57.6302,93.44106621,1.1387,1.9032,0.004428214,0.139559825,0.28596323,97.3331,3.643949358,0.9972,4.0317,3.507363174,59.0201,0
43.155,117.0969,47.6218,77.94946789,4.7481,3.49,0.02284054,0.3770517,-0.021966119,59.0319,2.713402207,-0.2123,3.399,1.862632022,48.9029,0
46.5039,117.4658,45.6421,68.59122327,2.69,1.5942,0.011937788,0.257957876,0.159315766,66.347,2.525934351,2.2433,1.1541,0.911890005,53.1281,0
29.0704,288.7647,10.063,4.324455109,13.8281,7.1585,0.039043479,0.056156579,0.233863771,1033.9189,9.933282992,15.1022,0.7143,0.543664616,67.8296,0
6.8823,-1420.6417,85.268,51.16118044,11.2147,3.7907,0.014358979,0.108461319,0.048886621,120.7165,-206.4193355,1.7043,1.7385,0.891648319,74.6979,0
31.0743,222.0115,51.3661,47.36780439,1.6144,2.7197,0.004974342,0.038640106,0.26086019,72.1173,7.144530414,9.4185,0.5801,0.571957061,68.9257,0
6.8823,-1420.6417,85.268,51.16118044,11.2147,3.7907,0.014358979,0.108461319,0.048886621,120.7165,-206.4193355,1.7043,1.7385,0.891648319,74.6979,0
22.6801,297.3919,50.623,36.20737481,-0.6928,2.8035,0.010934197,0.145094474,0.153568423,147.2423,13.11244683,5.8883,1.0892,0.981820187,61.5957,0
34.3742,194.2514,58.1112,73.08901874,1.2265,0.8783,0.004186923,0.069077851,0.166091744,297.6263,5.651081893,2.977,4.3286,1.376381477,65.6104,0
11.932,946.5619,64.3179,25.80020093,-12.5292,-0.4844,-0.01599853,-0.073547627,-0.070488013,582.6973,79.32968053,-4.3334,0.1927,0.124701151,82.985,0
64.057,50.5018,31.5645,77.60025231,-1.5186,0.02,-0.009140258,-0.771327253,0.001279922,19.8543,0.788388003,0.0035,5.6061,4.253880356,32.2649,0
9.5476,-1592.2651,69.9149,16.82608659,5.7775,2.6614,0.013405186,0.021517077,0.023389705,636.1712,-166.7709925,1.4737,0.7461,0.652907604,85.1947,0
63.1576,55.8011,12.5318,25.39399708,0.2566,1.4758,0.005869841,0.064221793,0.02048419,84.7453,0.883521765,0.5327,2.8194,1.129136088,35.0554,0
42.1507,147.2573,29.1036,24.37875938,3.2391,2.5421,0.013939527,0.021842502,0.227498904,3759.4462,3.493586611,8.8839,0.2633,0.17364884,56.3536,0
37.0694,173.5528,50.2528,60.55565365,0.589,0.5699,0.00177424,0.073100237,0.105247357,81.2818,4.681829088,2.6001,3.0162,2.309453613,62.151,0
28.0866,229.6137,46.3492,42.71887258,0.9812,3.2754,0.006640291,0.052496081,0.132303147,192.029,8.175193317,4.274,0.9172,0.59636596,56.5685,0
45.8029,118.4985,42.3278,62.40773095,0.9347,0.6797,0.004385162,0.235853315,-0.222249068,34.5276,2.587140468,-4.574,4.2779,0.777281406,54.1971,0
24.9475,490.326,37.6012,22.05901992,6.3229,2.6631,0.018046969,0.006080681,0.087947349,4331.1831,19.65433654,3.8763,1.359,0.608064117,59.1089,0
42.1507,147.2573,29.1036,24.37875938,3.2391,2.5421,0.013939527,0.021842502,0.227498904,3759.4462,3.493586611,8.8839,0.2633,0.17364884,56.3536,0
29.9012,231.4034,54.9496,53.46202606,0.6032,0.8448,0.001666774,0.039911054,0.179036664,777.9531,7.738922476,5.7929,2.0051,0.891272432,68.8276,0
33.3769,190.8249,61.6577,80.47452249,1.5543,0.8854,0.00512172,0.199778125,-0.299288266,82.5134,5.717281856,-2.6312,2.081,0.990293361,62.4644,0
46.9208,91.5453,20.9304,24.6810893,2.1391,3.04,0.014178364,0.253853794,0.173919667,11.5466,1.951060787,4.9145,1.3523,1.168565225,40.6774,0
28.6408,217.7057,47.1768,40.24502821,4.7184,2.9986,0.020579003,0.242596948,0.015749914,63.9659,7.601244687,0.558,2.0143,1.052080743,61.0073,0
51.161,95.3251,30.2158,43.74627099,1.3621,0.8116,0.006917415,0.228205898,0.004754662,149.6939,1.863237551,0.1259,2.4966,1.224049501,48.6287,0
27.3879,319.7394,62.8227,64.04288541,1.7628,3.3048,0.004743757,0.096540132,0.121161388,55.9918,11.67446728,3.1904,1.4737,1.375827819,72.6121,0
13.7376,-11416.032,69.1423,34.19541088,2.2957,3.7588,0.007324184,0.010157915,0.129867378,754.6693,-831.006339,5.9575,0.6351,0.470334211,76.6552,0
13.7376,-11416.032,69.1423,34.19541088,2.2957,3.7588,0.007324184,0.010157915,0.129867378,754.6693,-831.006339,5.9575,0.6351,0.470334211,76.6552,0
42.468,130.3653,50.1457,77.05295474,0.5884,1.2195,0.002375842,0.185452379,0.048279424,25.3956,3.069731715,0.6098,2.2864,0.615315226,55.3463,0
27.8447,292.6181,66.3265,81.57892862,0.2115,2.0907,0.00183034,0.014746959,0.115011864,291.9818,10.50891431,1.3414,1.2924,0.93412291,66.5093,0
9.0862,1849.2103,82.1353,53.51605236,1.3581,3.7924,0.008825483,0.038718138,0.102123766,1259.72,203.5185255,3.4669,0.5442,0.429391655,75.7232,0
15.0071,-428.7135,47.2826,17.85953776,-0.3448,2.6944,0.003527297,0.009765477,0.062208627,1939.2118,-28.56741717,3.9478,0.2649,0.037101456,76.9212,0
29.8902,233.1479,43.9986,34.08841972,1.1474,0.7367,0.005077201,0.114147758,0.006344889,130.7035,7.800138322,0.2927,1.5905,0.448039342,69.6126,0
64.4052,111.3984,16.2069,36.54810555,0.4609,0.6977,0.002190846,0.048516657,0.045157867,306.2028,1.729650592,0.9803,1.7422,0.552622336,34.1658,0
32.0392,215.4353,59.0355,69.64512202,2.3555,0.8796,0.007489511,0.156268556,0.015969373,101.3142,6.724124421,0.3164,4.3754,1.756023748,65.9868,0
42.1507,147.2573,29.1036,24.37875938,3.2391,2.5421,0.013939527,0.021842502,0.227498904,3759.4462,3.493586611,8.8839,0.2633,0.17364884,56.3536,0
28.6306,389.9709,67.663,82.69694926,3.0527,2.7396,0.009558333,0.125901903,0.021305305,196.9334,13.62078992,0.2017,1.2795,0.788357483,69.3742,0
41.6949,134.9327,46.2979,64.07525804,4.0424,2.9002,0.018753829,0.510299351,0.058555995,30.9172,3.236194286,1.0526,0.9239,0.883913536,53.9218,0
64.3822,55.1332,23.0943,53.59338451,4.6389,3.4985,0.027596226,0.555855569,0.317247201,170.8587,0.856341968,5.0426,1.2062,0.451689705,35.2284,0
47.2704,108.0914,39.6089,61.47404503,3.4865,2.2041,0.014550491,0.212094588,-0.750592813,97.2481,2.286659791,-14.694,4.4011,2.333182153,50.5799,0
33.1059,217.9807,55.0657,60.1145063,2.1279,1.3465,0.006936054,0.138118385,-0.103343147,76.4017,6.584342267,-2.7132,3.0687,1.32351147,66.8249,0
39.0598,147.1186,32.0421,33.10835562,1.5035,1.8816,0.011235731,0.0724406,0.020660689,192.8002,3.76649624,0.7639,1.7269,1.126678547,55.3917,0
62.9244,59.4595,24.438,55.07239296,2.2414,2.1518,0.00947899,0.22022531,0.117635171,289.9487,0.944935818,1.9706,5.5913,1.715666485,37.1023,0
53.0287,89.1205,40.0471,74.82999887,0.8618,0.7494,0.004565467,0.150575086,0.070453011,20.7808,1.680607715,0.8045,5.5877,2.003245631,46.8411,0
44.9314,125.6725,50.2383,79.21045028,0.691,0.4228,0.002880498,0.101483708,0.000564065,33.8247,2.796984495,0.0051,5.37,1.623186331,54.4693,0
79.4783,33.2788,5.2333,21.78692289,1.3186,1.2868,0.010185305,0.042167381,0.256125851,1848.5745,0.418715887,4.0857,1.5754,0.941434504,20.3411,0
33.9558,204.6298,60.2827,78.67292173,2.0666,1.1608,0.007011762,0.087003844,-0.810750101,93.1623,6.026363847,-11.592,5.9126,3.087933554,65.8358,0
27.8713,246.8483,55.2371,48.52833885,1.4279,1.932,0.0037593,0.054634923,0.000819526,275.7503,8.856724053,0.0257,2.4414,0.777349155,65.7713,0
44.0196,134.8688,4.6049,3.71263614,0.4688,0.497,0.002242827,0.111695665,0.004983649,122.6465,3.063832623,0.2676,1.7663,0.813478431,55.816,0
32.9282,205.8174,42.8364,36.40784772,4.8701,1.8891,0.010678103,0.182846706,0.017100347,273.2602,6.2504885,0.7243,2.0759,1.253611887,67.0304,0
41.638,128.4322,49.3784,77.59773477,4.5467,2.2339,0.018222609,0.283355905,-0.214629447,55.7144,3.084494941,-2.5667,6.8099,1.92806447,52.5743,0
46.7891,111.0924,39.4717,49.71535582,0.8482,0.6096,0.003833505,0.073079165,-0.065334543,616.7553,2.374320078,-1.4016,3.6109,1.399514644,51.9641,0
35.6655,180.1755,52.9105,60.54035289,3.3861,1.3277,0.010392724,0.220893935,0.168765936,205.6628,5.051811571,3.9266,2.2449,1.043935664,63.3407,0
43.4826,130.7554,48.3862,65.4406229,6.5181,4.3967,0.026478824,0.241741525,-0.042652091,152.9571,3.007071718,-0.6719,6.1055,1.010287322,56.5174,0
43.5616,130.2334,42.3402,66.68641078,2.2972,1.0475,0.009505189,0.139276945,0.014709449,161.9834,2.989636245,0.2363,3.25,0.679703385,48.0506,0
58.1754,71.768,32.1523,66.32787493,0.2246,0.8744,0.00130573,0.060452897,-0.116693904,71.9307,1.233647303,-1.6538,4.6044,1.35017358,41.7409,0
41.4862,138.6563,38.623,38.86573732,1.6103,1.6481,0.006745491,0.102433367,0.005463144,90.3422,3.342227501,0.1633,2.6262,0.971982167,56.0061,0
39.4283,153.2702,48.698,63.47105216,1.2928,0.6247,0.005075665,0.177282388,0.072508233,57.9842,3.887318307,1.5944,3.8688,1.366765129,59.4156,0
46.0681,121.2909,40.1383,57.75063212,1.0724,0.747,0.004825361,0.136666561,0.060701067,56.0221,2.632861158,1.3974,2.7663,1.469702593,53.9107,0
68.2155,42.913,22.2489,67.75338826,1.2792,1.1374,0.007547259,0.104759938,0.120034969,359.3932,0.62908019,1.0843,3.8412,0.448009129,28.5531,0
5.2259,2253.949,86.0556,39.95734284,9.1537,3.5495,0.018223352,0.111805671,0.013389307,142.3158,431.2994156,0.6348,1.7948,0.568582652,79.6642,0
47.7141,144.4415,33.767,47.69409978,0.4828,0.4602,0.002344404,0.065290233,0.003329698,490.2891,3.027226359,0.0772,3.1824,1.195409365,47.5163,0
36.5362,171.3645,56.6356,76.35312658,1.0922,1.7998,0.004028961,0.151586068,-0.076493537,24.0843,4.690263431,-1.0506,2.743,2.254819164,61.4519,0
60.5471,82.288,27.1894,40.36174393,0.2815,1.3385,0.003713169,0.082101065,0.043154065,62.3503,1.359073452,0.6903,3.0418,1.436698529,38.6055,0
22.4708,371.2964,60.6517,53.57453526,0.4949,3.3888,0.003381726,0.009916625,0.093162693,382.1553,16.5234805,2.5883,1.8959,1.166749565,62.4198,0
20.667,428.1019,55.8364,38.13357841,5.8862,2.8344,0.01871441,0.040503823,0.049478485,307.2528,20.71423968,1.977,1.4244,0.989110885,66.0867,0
20.667,428.1019,55.8364,38.13357841,5.8862,2.8344,0.01871441,0.040503823,0.049478485,307.2528,20.71423968,1.977,1.4244,0.989110885,66.0867,0
47.8477,111.6494,36.0091,52.12857498,0.5588,0.5746,0.002721892,0.067541002,0.015273774,321.5685,2.333434574,0.3785,3.1728,0.451866166,51.7083,0
20.93,608.154,53.6077,30.93869577,15.1316,7.1147,0.044091904,0.184500348,0.039385331,201.5384,29.05655702,1.5796,1.036,0.651687734,64.2924,0
